"ID";"TO_SERVICE";"XPRESSBEES_SERVICE";"DHL_SERVICE";"BLUEDART_SERVICE";"GATI_SERVICE";"DPWORLD_SERVICE"
7987;486553;"NSL";"ODA";"EDL";"";"NSL"
7988;486556;"NSL";"ODA";"EDL";"";"NSL"
7989;486661;"NSL";"ODA";"EDL";"";"EDL3"
7990;486666;"NSL";"ODA";"EDL";"";"NSL"
7991;486669;"NSL";"ODA";"EDL";"";"NSL"
7992;486670;"NSL";"ODA";"EDL";"";"NSL"
7993;486675;"NSL";"NSL";"EDL";"";"NSL"
7994;486771;"NSL";"ODA";"EDL";"";"EDL4"
7995;486775;"NSL";"ODA";"EDL";"";"EDL4"
7996;486776;"NSL";"ODA";"EDL";"";"EDL4"
7997;486881;"NSL";"ODA";"EDL";"";"NSL"
7998;486882;"NSL";"ODA";"EDL";"";"NSL"
7999;486884;"NSL";"ODA";"EDL";"";"NSL"
8000;486885;"NSL";"ODA";"EDL";"";"EDL4"
8001;486886;"NSL";"ODA";"EDL";"";"EDL4"
8002;486887;"NSL";"ODA";"EDL";"";"EDL4"
8003;486888;"NSL";"ODA";"EDL";"";"EDL4"
8004;486889;"NSL";"ODA";"EDL";"";"EDL4"
8005;486890;"NSL";"ODA";"EDL";"";"EDL4"
8006;486892;"NSL";"ODA";"EDL";"";"EDL4"
8007;487001;"NSL";"ODA";"EDL";"";"EDL2"
8008;487110;"NSL";"ODA";"EDL";"";"EDL2"
8009;487114;"NSL";"ODA";"EDL";"";"EDL1"
8010;487118;"ODA";"ODA";"EDL";"";"EDL1"
8011;487221;"NSL";"ODA";"EDL";"";"EDL2"
8012;487225;"NSL";"ODA";"EDL";"";"NSL"
8013;487330;"NSL";"ODA";"EDL";"";"NSL"
8014;487334;"NSL";"ODA";"EDL";"";"NSL"
8015;487337;"NSL";"ODA";"EDL";"";"NSL"
8016;487441;"NSL";"ODA";"EDL";"";"NSL"
8017;487551;"NSL";"ODA";"EDL";"";"EDL3"
8018;487555;"NSL";"ODA";"EDL";"";"EDL3"
8019;487661;"NSL";"ODA";"EDL";"";"EDL3"
8020;487770;"NSL";"ODA";"EDL";"";"EDL3"
8021;487881;"NSL";"ODA";"EDL";"";"NSL"
8022;488001;"NSL";"ODA";"EDL";"";"EDL1"
8023;488050;"NSL";"ODA";"EDL";"";"NSL"
8024;488059;"NSL";"NSL";"EDL";"";"NSL"
8025;488220;"NSL";"ODA";"EDL";"";"NSL"
8026;488222;"NSL";"ODA";"EDL";"";"NSL"
8027;488333;"NSL";"ODA";"EDL";"";"NSL"
8028;488441;"NSL";"ODA";"EDL";"";"NSL"
8029;488442;"NSL";"ODA";"EDL";"";"NSL"
8030;488443;"NSL";"NSL";"EDL";"";"NSL"
8031;488446;"NSL";"ODA";"EDL";"";"NSL"
8032;488448;"NSL";"ODA";"EDL";"";"NSL"
8033;490001;"Normal";"ODA";"Normal";"";"EDL2"
8034;490006;"Normal";"ODA";"Normal";"";"NSL"
8035;490009;"Normal";"ODA";"Normal";"";"NSL"
8036;490011;"Normal";"ODA";"Normal";"";"NSL"
8037;490020;"Normal";"ODA";"Normal";"";"EDL3"
8038;490021;"ODA";"ODA";"Normal";"";"NSL"
8039;490022;"Normal";"ODA";"Normal";"";"NSL"
8040;490023;"Normal";"ODA";"Normal";"";"EDL1"
8041;490024;"Normal";"ODA";"Normal";"";"NSL"
8042;490025;"ODA";"ODA";"EDL";"";"EDL1"
8043;490026;"Normal";"ODA";"Normal";"";"NSL"
8044;490036;"Normal";"ODA";"Normal";"";"NSL"
8045;490042;"ODA";"ODA";"EDL";"";"NSL"
8046;491001;"Normal";"ODA";"Normal";"";"EDL1"
8047;491107;"ODA";"ODA";"Normal";"";"NSL"
8048;491111;"ODA";"ODA";"EDL";"";"NSL"
8049;491221;"NSL";"ODA";"EDL";"";"NSL"
8050;491222;"NSL";"ODA";"EDL";"";"NSL"
8051;491223;"NSL";"ODA";"EDL";"";"NSL"
8052;491225;"NSL";"ODA";"EDL";"";"NSL"
8053;491226;"NSL";"ODA";"EDL";"";"EDL2"
8054;491227;"NSL";"ODA";"EDL";"";"NSL"
8055;491228;"NSL";"ODA";"EDL";"";"NSL"
8056;491229;"NSL";"ODA";"EDL";"";"EDL4"
8057;491230;"ODA";"ODA";"EDL";"";"NSL"
8058;491331;"NSL";"ODA";"EDL";"";"NSL"
8059;491332;"ODA";"ODA";"EDL";"";"NSL"
8060;491335;"NSL";"ODA";"EDL";"";"EDL1"
8061;491336;"NSL";"ODA";"EDL";"";"NSL"
8062;491337;"NSL";"ODA";"EDL";"";"NSL"
8063;491338;"NSL";"ODA";"EDL";"";"NSL"
8064;491340;"NSL";"ODA";"EDL";"";"EDL2"
8065;491441;"NSL";"ODA";"EDL";"";"EDL2"
8066;491444;"NSL";"ODA";"EDL";"";"NSL"
8067;491445;"NSL";"ODA";"EDL";"";"NSL"
8068;491557;"NSL";"ODA";"EDL";"";"NSL"
8069;491558;"NSL";"ODA";"EDL";"";"NSL"
8070;491559;"NSL";"ODA";"EDL";"";"NSL"
8071;491661;"NSL";"ODA";"EDL";"";"NSL"
8072;491665;"NSL";"ODA";"EDL";"";"NSL"
8073;491666;"NSL";"ODA";"EDL";"";"NSL"
8074;491668;"NSL";"ODA";"EDL";"";"NSL"
8075;491771;"NSL";"ODA";"EDL";"";"NSL"
8076;491881;"NSL";"ODA";"EDL";"";"EDL2"
8077;491885;"NSL";"ODA";"EDL";"";"EDL2"
8078;491888;"NSL";"ODA";"EDL";"";"NSL"
8079;491993;"NSL";"ODA";"EDL";"";"EDL2"
8080;491995;"NSL";"ODA";"EDL";"";"NSL"
8081;491996;"NSL";"NSL";"EDL";"";"NSL"
8082;492001;"Normal";"ODA";"Normal";"";"DIRECT"
8083;492002;"ODA";"ODA";"Normal";"";"DIRECT"
8084;492003;"Normal";"ODA";"Normal";"";"DIRECT"
8085;492004;"Normal";"ODA";"Normal";"";"DIRECT"
8086;492005;"Normal";"ODA";"Normal";"";"DIRECT"
8087;492008;"Normal";"ODA";"Normal";"";"DIRECT"
8088;492009;"Normal";"ODA";"Normal";"";"DIRECT"
8089;492010;"Normal";"ODA";"Normal";"";"DIRECT"
8090;492012;"Normal";"ODA";"Normal";"";"DIRECT"
8091;492013;"Normal";"ODA";"Normal";"";"DIRECT"
8092;492014;"Normal";"NSL";"EDL";"";"DIRECT"
8093;492015;"Normal";"ODA";"EDL";"";"DIRECT"
8094;492016;"ODA";"NSL";"NSL";"";"NSL"
8095;492017;"ODA";"NSL";"NSL";"";"NSL"
8096;492018;"NSL";"NSL";"NSL";"";"NSL"
8097;492099;"Normal";"ODA";"Normal";"";"DIRECT"
8098;492101;"ODA";"ODA";"EDL";"";"DIRECT"
8099;492109;"NSL";"ODA";"EDL";"";"DIRECT"
8100;492112;"NSL";"ODA";"EDL";"";"NSL"
8101;493101;"ODA";"ODA";"EDL";"";"EDL1"
8102;493111;"ODA";"ODA";"Normal";"";"DIRECT"
8103;493113;"NSL";"ODA";"EDL";"";"EDL2"
8104;493114;"ODA";"ODA";"EDL";"";"EDL1"
8105;493116;"ODA";"ODA";"EDL";"";"EDL1"
8106;493118;"NSL";"ODA";"EDL";"";"EDL2"
8107;493195;"ODA";"ODA";"EDL";"";"EDL1"
8108;493196;"NSL";"ODA";"EDL";"";"EDL1"
8109;493221;"Normal";"ODA";"Normal";"";"EDL1"
8110;493222;"NSL";"ODA";"EDL";"";"NSL"
8111;493225;"ODA";"ODA";"EDL";"";"EDL1"
8112;493228;"NSL";"ODA";"EDL";"";"EDL2"
8113;493229;"NSL";"ODA";"EDL";"";"EDL2"
8114;493331;"NSL";"ODA";"EDL";"";"NSL"
8115;493332;"NSL";"ODA";"EDL";"";"NSL"
8116;493335;"NSL";"ODA";"EDL";"";"NSL"
8117;493338;"NSL";"ODA";"EDL";"";"NSL"
8118;493344;"NSL";"ODA";"EDL";"";"EDL2"
8119;493441;"ODA";"ODA";"EDL";"";"EDL1"
8120;493445;"NSL";"ODA";"EDL";"";"EDL1"
8121;493448;"NSL";"NSL";"EDL";"";"NSL"
8122;493449;"NSL";"ODA";"EDL";"";"NSL"
8123;493526;"NSL";"ODA";"EDL";"";"NSL"
8124;493551;"NSL";"ODA";"EDL";"";"NSL"
8125;493554;"NSL";"ODA";"EDL";"";"NSL"
8126;493555;"NSL";"ODA";"EDL";"";"EDL3"
8127;493558;"NSL";"ODA";"EDL";"";"EDL3"
8128;493559;"NSL";"ODA";"EDL";"";"NSL"
8129;493661;"ODA";"ODA";"EDL";"";"DIRECT"
8130;493662;"NSL";"ODA";"EDL";"";"NSL"
8131;493663;"ODA";"ODA";"EDL";"";"EDL1"
8132;493770;"ODA";"ODA";"EDL";"";"EDL1"
8133;493773;"NSL";"ODA";"EDL";"";"EDL2"
8134;493776;"NSL";"ODA";"EDL";"";"EDL1"
8135;493778;"NSL";"ODA";"EDL";"";"EDL3"
8136;493881;"ODA";"ODA";"EDL";"";"DIRECT"
8137;493885;"ODA";"ODA";"EDL";"";"EDL1"
8138;493887;"NSL";"NSL";"EDL";"";"NSL"
8139;493888;"NSL";"NSL";"EDL";"";"NSL"
8140;493889;"NSL";"ODA";"EDL";"";"NSL"
8141;493890;"NSL";"ODA";"EDL";"";"EDL4"
8142;493891;"NSL";"NSL";"EDL";"";"NSL"
8143;493992;"NSL";"ODA";"EDL";"";"EDL1"
8144;493996;"NSL";"ODA";"EDL";"";"EDL2"
8145;494001;"NSL";"ODA";"EDL";"";"EDL4"
8146;494010;"NSL";"ODA";"EDL";"";"NSL"
8147;494111;"NSL";"ODA";"EDL";"";"NSL"
8148;494114;"NSL";"ODA";"NSL";"";"NSL"
8149;494115;"NSL";"ODA";"EDL";"";"NSL"
8150;494122;"NSL";"ODA";"EDL";"";"NSL"
8151;494221;"NSL";"ODA";"EDL";"";"NSL"
8152;494222;"NSL";"ODA";"EDL";"";"NSL"
8153;494223;"NSL";"ODA";"EDL";"";"NSL"
8154;494224;"NSL";"ODA";"EDL";"";"NSL"
8155;494226;"NSL";"ODA";"EDL";"";"NSL"
8156;494228;"NSL";"ODA";"NSL";"";"NSL"
8157;494229;"NSL";"ODA";"NSL";"";"NSL"
8158;494230;"NSL";"ODA";"EDL";"";"NSL"
8159;494237;"NSL";"ODA";"NSL";"";"NSL"
8160;494331;"NSL";"ODA";"EDL";"";"NSL"
8161;494332;"NSL";"ODA";"NSL";"";"NSL"
8162;494333;"NSL";"ODA";"EDL";"";"EDL2"
8163;494334;"NSL";"ODA";"EDL";"";"EDL2"
8164;494335;"NSL";"ODA";"NSL";"";"EDL3"
8165;494336;"NSL";"ODA";"EDL";"";"EDL2"
8166;494337;"NSL";"ODA";"EDL";"";"NSL"
8167;494347;"NSL";"ODA";"NSL";"";"NSL"
8168;494441;"NSL";"ODA";"EDL";"";"NSL"
8169;494442;"NSL";"ODA";"EDL";"";"NSL"
8170;494444;"NSL";"ODA";"EDL";"";"NSL"
8171;494446;"NSL";"ODA";"EDL";"";"NSL"
8172;494447;"NSL";"ODA";"EDL";"";"NSL"
8173;494448;"NSL";"ODA";"EDL";"";"NSL"
8174;494449;"NSL";"ODA";"EDL";"";"NSL"
8175;494450;"NSL";"NSL";"NSL";"";"NSL"
8176;494552;"NSL";"ODA";"EDL";"";"NSL"
8177;494553;"NSL";"ODA";"EDL";"";"NSL"
8178;494556;"NSL";"ODA";"EDL";"";"NSL"
8179;494635;"NSL";"ODA";"EDL";"";"EDL3"
8180;494661;"NSL";"ODA";"EDL";"";"NSL"
8181;494665;"NSL";"ODA";"EDL";"";"NSL"
8182;494669;"NSL";"ODA";"EDL";"";"NSL"
8183;494670;"NSL";"ODA";"NSL";"";"EDL2"
8184;494771;"NSL";"ODA";"EDL";"";"NSL"
8185;494776;"NSL";"ODA";"EDL";"";"NSL"
8186;494777;"NSL";"ODA";"EDL";"";"NSL"
8187;495001;"Normal";"ODA";"Normal";"";"DIRECT"
8188;495003;"ODA";"NSL";"EDL";"";"DIRECT"
8189;495004;"Normal";"ODA";"Normal";"";"DIRECT"
8190;495006;"Normal";"ODA";"Normal";"";"DIRECT"
8191;495009;"Normal";"ODA";"Normal";"";"NSL"
8192;495112;"NSL";"ODA";"EDL";"";"NSL"
8193;495113;"NSL";"ODA";"EDL";"";"NSL"
8194;495115;"NSL";"ODA";"EDL";"";"NSL"
8195;495116;"NSL";"ODA";"EDL";"";"NSL"
8196;495117;"NSL";"ODA";"EDL";"";"NSL"
8197;495118;"NSL";"ODA";"EDL";"";"NSL"
8198;495119;"NSL";"ODA";"EDL";"";"NSL"
8199;495220;"Normal";"ODA";"Normal";"";"NSL"
8200;495222;"NSL";"ODA";"EDL";"";"NSL"
8201;495224;"NSL";"ODA";"EDL";"";"DIRECT"
8202;495330;"NSL";"ODA";"EDL";"";"EDL1"
8203;495334;"NSL";"ODA";"EDL";"";"EDL1"
8204;495335;"NSL";"ODA";"EDL";"";"NSL"
8205;495442;"NSL";"ODA";"EDL";"";"NSL"
8206;495444;"NSL";"NSL";"NSL";"";"NSL"
8207;495445;"NSL";"ODA";"EDL";"";"NSL"
8208;495446;"NSL";"ODA";"EDL";"";"NSL"
8209;495447;"NSL";"ODA";"EDL";"";"NSL"
8210;495448;"NSL";"NSL";"EDL";"";"NSL"
8211;495449;"NSL";"ODA";"EDL";"";"NSL"
8212;495450;"NSL";"ODA";"EDL";"";"EDL2"
8213;495452;"NSL";"ODA";"EDL";"";"NSL"
8214;495454;"NSL";"ODA";"EDL";"";"NSL"
8215;495455;"NSL";"ODA";"EDL";"";"NSL"
8216;495550;"Normal";"ODA";"EDL";"";"NSL"
8217;495551;"NSL";"ODA";"Normal";"";"NSL"
8218;495552;"NSL";"ODA";"EDL";"";"NSL"
8219;495553;"NSL";"ODA";"EDL";"";"NSL"
8220;495554;"NSL";"ODA";"EDL";"";"NSL"
8221;495555;"NSL";"ODA";"EDL";"";"NSL"
8222;495556;"NSL";"ODA";"EDL";"";"NSL"
8223;495557;"NSL";"ODA";"EDL";"";"NSL"
8224;495559;"NSL";"ODA";"EDL";"";"NSL"
8225;495660;"NSL";"ODA";"EDL";"";"NSL"
8226;495661;"NSL";"ODA";"EDL";"";"NSL"
8227;495663;"NSL";"ODA";"EDL";"";"NSL"
8228;495668;"NSL";"ODA";"EDL";"";"NSL"
8229;495669;"NSL";"NSL";"NSL";"";"NSL"
8230;495671;"NSL";"ODA";"EDL";"";"EDL1"
8231;495674;"NSL";"ODA";"EDL";"";"EDL1"
8232;495677;"NSL";"ODA";"EDL";"";"EDL2"
8233;495682;"NSL";"ODA";"EDL";"";"NSL"
8234;495683;"NSL";"ODA";"EDL";"";"NSL"
8235;495684;"NSL";"ODA";"EDL";"";"NSL"
8236;495686;"NSL";"NSL";"EDL";"";"NSL"
8237;495687;"NSL";"ODA";"EDL";"";"NSL"
8238;495688;"NSL";"ODA";"EDL";"";"NSL"
8239;495689;"NSL";"ODA";"EDL";"";"NSL"
8240;495690;"NSL";"ODA";"EDL";"";"NSL"
8241;495691;"NSL";"ODA";"EDL";"";"NSL"
8242;495692;"NSL";"ODA";"EDL";"";"NSL"
8243;495695;"NSL";"ODA";"EDL";"";"NSL"
8244;496001;"NSL";"ODA";"EDL";"";"DIRECT"
8245;496005;"NSL";"NSL";"EDL";"";"NSL"
8246;496100;"NSL";"ODA";"EDL";"";"EDL1"
8247;496107;"NSL";"ODA";"EDL";"";"EDL1"
8248;496108;"NSL";"NSL";"EDL";"";"NSL"
8249;496109;"NSL";"NSL";"EDL";"";"EDL1"
8250;496111;"NSL";"ODA";"EDL";"";"EDL1"
8251;496113;"NSL";"ODA";"EDL";"";"NSL"
8252;496115;"NSL";"ODA";"EDL";"";"NSL"
8253;496116;"NSL";"ODA";"EDL";"";"NSL"
8254;496118;"NSL";"ODA";"EDL";"";"EDL1"
8255;496220;"NSL";"ODA";"EDL";"";"NSL"
8256;496223;"NSL";"ODA";"EDL";"";"NSL"
8257;496224;"NSL";"ODA";"EDL";"";"NSL"
8258;496225;"NSL";"ODA";"EDL";"";"NSL"
8259;496227;"NSL";"ODA";"EDL";"";"NSL"
8260;496242;"NSL";"ODA";"EDL";"";"NSL"
8261;496245;"NSL";"ODA";"EDL";"";"NSL"
8262;496330;"NSL";"ODA";"EDL";"";"NSL"
8263;496331;"NSL";"ODA";"EDL";"";"NSL"
8264;496334;"NSL";"ODA";"EDL";"";"NSL"
8265;496336;"NSL";"ODA";"EDL";"";"NSL"
8266;496338;"NSL";"ODA";"EDL";"";"NSL"
8267;496440;"NSL";"ODA";"EDL";"";"EDL1"
8268;496445;"NSL";"ODA";"EDL";"";"EDL1"
8269;496450;"NSL";"ODA";"EDL";"";"NSL"
8270;496551;"NSL";"ODA";"EDL";"";"EDL1"
8271;496554;"NSL";"ODA";"EDL";"";"NSL"
8272;496661;"NSL";"ODA";"EDL";"";"EDL1"
8273;496665;"NSL";"ODA";"EDL";"";"NSL"
8274;497001;"NSL";"ODA";"EDL";"";"DIRECT"
8275;497101;"NSL";"ODA";"EDL";"";"EDL1"
8276;497111;"NSL";"ODA";"EDL";"";"EDL1"
8277;497114;"NSL";"ODA";"EDL";"";"NSL"
8278;497116;"NSL";"ODA";"EDL";"";"EDL1"
8279;497117;"NSL";"NSL";"EDL";"";"NSL"
8280;497118;"NSL";"ODA";"EDL";"";"EDL1"
8281;497119;"NSL";"ODA";"EDL";"";"EDL2"
8282;497220;"NSL";"ODA";"EDL";"";"EDL2"
8283;497223;"NSL";"ODA";"EDL";"";"EDL1"
8284;497224;"NSL";"ODA";"EDL";"";"NSL"
8285;497225;"NSL";"ODA";"EDL";"";"NSL"
8286;497226;"NSL";"ODA";"EDL";"";"EDL1"
8287;497229;"NSL";"ODA";"EDL";"";"EDL1"
8288;497231;"NSL";"ODA";"EDL";"";"NSL"
8289;497235;"NSL";"ODA";"EDL";"";"NSL"
8290;497331;"NSL";"ODA";"EDL";"";"EDL1"
8291;497333;"NSL";"ODA";"EDL";"";"NSL"
8292;497335;"NSL";"ODA";"EDL";"";"EDL1"
8293;497339;"NSL";"ODA";"EDL";"";"NSL"
8294;497442;"NSL";"ODA";"EDL";"";"EDL2"
8295;497446;"NSL";"ODA";"EDL";"";"NSL"
8296;497447;"NSL";"ODA";"EDL";"";"NSL"
8297;497448;"NSL";"ODA";"EDL";"";"NSL"
8298;497449;"NSL";"ODA";"EDL";"";"EDL2"
8299;497450;"NSL";"NSL";"NSL";"";"NSL"
8300;497451;"NSL";"ODA";"EDL";"";"NSL"
8301;497553;"NSL";"ODA";"EDL";"";"EDL2"
8302;497555;"NSL";"ODA";"EDL";"";"NSL"
8303;497557;"NSL";"ODA";"EDL";"";"NSL"
8304;497559;"NSL";"ODA";"EDL";"";"NSL"
8305;497773;"NSL";"ODA";"EDL";"";"EDL2"
8306;497778;"NSL";"ODA";"EDL";"";"NSL"
8307;500001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8308;500002;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8309;500003;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8310;500004;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8311;500005;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8312;500006;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8313;500007;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8314;500008;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8315;500009;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8316;500010;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8317;500011;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8318;500012;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8319;500013;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8320;500014;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8321;500015;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8322;500016;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8323;500017;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8324;500018;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8325;500019;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8326;500020;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8327;500022;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8328;500023;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8329;500024;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8330;500025;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8331;500026;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8332;500027;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8333;500028;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8334;500029;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8335;500030;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8336;500031;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8337;500032;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8338;500033;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8339;500034;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8340;500035;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8341;500036;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8342;500037;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8343;500038;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8344;500039;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8345;500040;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8346;500041;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8347;500042;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8348;500043;"Normal";"Non-ODA";"Normal";"";"EDL1"
8349;500044;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8350;500045;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8351;500046;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8352;500047;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8353;500048;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8354;500049;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8355;500050;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8356;500051;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8357;500052;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8358;500053;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8359;500054;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8360;500055;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8361;500056;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8362;500057;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8363;500058;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8364;500059;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8365;500060;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8366;500061;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8367;500062;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8368;500063;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8369;500064;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8370;500065;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8371;500066;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8372;500067;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8373;500068;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8374;500069;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8375;500070;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8376;500072;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8377;500073;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8378;500074;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8379;500075;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8380;500076;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8381;500077;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8382;500078;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8383;500079;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8384;500080;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8385;500081;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8386;500082;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8387;500083;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8388;500084;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8389;500085;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8390;500086;"Normal";"NSL";"Normal";"";"DIRECT"
8391;500087;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8392;500088;"Normal";"NSL";"Normal";"";"DIRECT"
8393;500089;"Normal";"NSL";"Normal";"";"DIRECT"
8394;500090;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8395;500091;"Normal";"NSL";"Normal";"";"DIRECT"
8396;500092;"Normal";"NSL";"Normal";"";"DIRECT"
8397;500093;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8398;500094;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8399;500095;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8400;500096;"Normal";"NSL";"Normal";"";"DIRECT"
8401;500097;"Normal";"NSL";"Normal";"";"DIRECT"
8402;500098;"Normal";"NSL";"Normal";"";"DIRECT"
8403;500100;"Normal";"NSL";"Normal";"";"DIRECT"
8404;500101;"Normal";"NSL";"Normal";"";"DIRECT"
8405;500102;"Normal";"NSL";"Normal";"";"NSL"
8406;500103;"Normal";"NSL";"Normal";"";"DIRECT"
8407;500104;"Normal";"NSL";"Normal";"";"DIRECT"
8408;500107;"Normal";"NSL";"Normal";"";"EDL1"
8409;500108;"Normal";"NSL";"Normal";"";"DIRECT"
8410;500109;"Normal";"NSL";"NSL";"";"NSL"
8411;500110;"Normal";"NSL";"EDL";"";"EDL1"
8412;500111;"Normal";"NSL";"Normal";"";"EDL1"
8413;500112;"Normal";"NSL";"NSL";"";"NSL"
8414;500113;"NSL";"NSL";"NSL";"";"NSL"
8415;500114;"Normal";"NSL";"NSL";"";"NSL"
8416;500115;"Normal";"NSL";"NSL";"";"NSL"
8417;501101;"NSL";"Non-ODA";"EDL";"";"EDL1"
8418;501102;"NSL";"Non-ODA";"EDL";"";"EDL1"
8419;501106;"NSL";"Non-ODA";"EDL";"";"NSL"
8420;501111;"ODA";"Non-ODA";"EDL";"";"EDL2"
8421;501121;"NSL";"Non-ODA";"EDL";"";"EDL1"
8422;501141;"NSL";"Non-ODA";"EDL";"";"EDL1"
8423;501142;"NSL";"Non-ODA";"EDL";"";"EDL1"
8424;501143;"NSL";"Non-ODA";"EDL";"";"EDL1"
8425;501144;"NSL";"Non-ODA";"EDL";"";"EDL1"
8426;501158;"NSL";"Non-ODA";"EDL";"";"EDL1"
8427;501202;"NSL";"Non-ODA";"EDL";"";"EDL1"
8428;501203;"Normal";"Non-ODA";"NSL";"";"EDL2"
8429;501218;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8430;501301;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8431;501359;"ODA";"Non-ODA";"EDL";"";"DIRECT"
8432;501401;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8433;501501;"NSL";"Non-ODA";"EDL";"";"EDL1"
8434;501502;"NSL";"Non-ODA";"EDL";"";"NSL"
8435;501503;"ODA";"Non-ODA";"EDL";"";"EDL3"
8436;501504;"ODA";"Non-ODA";"NSL";"";"DIRECT"
8437;501505;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8438;501506;"Normal";"Non-ODA";"EDL";"";"EDL1"
8439;501508;"NSL";"Non-ODA";"EDL";"";"EDL1"
8440;501509;"NSL";"Non-ODA";"NSL";"";"EDL1"
8441;501510;"ODA";"Non-ODA";"Normal";"";"EDL1"
